date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:34:39	275921/275921	---MCZ	200	added ('OK')	text/html	etag:W/%22bf22a401434a11a6bc544a705aea942d%22	https://booqi.me/es/blog	./downloaded-site-booqi/booqi.me/es/blog.html	(from https://booqi.me/blog)
09:34:40	300734/300734	---MCZ	200	added ('OK')	text/html	etag:W/%22b4fce192e20b22bf3c1fc5bc130d8f60%22	https://booqi.me/blog/customer-story-klotti-freizeitpark-digitizes-ticket-sales-with-booqi	./downloaded-site-booqi/booqi.me/blog/customer-story-klotti-freizeitpark-digitizes-ticket-sales-with-booqi.html	(from https://booqi.me/blog)
09:34:41	305000/305000	---MCZ	200	added ('OK')	text/html	etag:W/%22fada269f07f7d47adfa243a0f1387e7f%22	https://booqi.me/blog/booqi-vouchers-boost-revenue-attract-new-visitors-and-offer-total-flexibility	./downloaded-site-booqi/booqi.me/blog/booqi-vouchers-boost-revenue-attract-new-visitors-and-offer-total-flexibility.html	(from https://booqi.me/blog)
09:34:42	307104/307104	---MCZ	200	added ('OK')	text/html	etag:W/%22ea742148464b5737726142f951f9d00e%22	https://booqi.me/blog/increase-customer-loyalty-with-subscription-modules	./downloaded-site-booqi/booqi.me/blog/increase-customer-loyalty-with-subscription-modules.html	(from https://booqi.me/blog)
09:34:43	309843/309843	---MCZ	200	added ('OK')	text/html	etag:W/%22c7005df8be53dec5f0e5d0d01b398067%22	https://booqi.me/blog/the-power-of-smart-emails-for-your-visitors	./downloaded-site-booqi/booqi.me/blog/the-power-of-smart-emails-for-your-visitors.html	(from https://booqi.me/blog)
09:34:44	308112/308112	---MCZ	200	added ('OK')	text/html	etag:W/%220f04e1afa515f0136f5713dbd05935ad%22	https://booqi.me/blog/how-capacity-poules-help-optimize-your-venue	./downloaded-site-booqi/booqi.me/blog/how-capacity-poules-help-optimize-your-venue.html	(from https://booqi.me/blog)
09:34:45	309733/309733	---MCZ	200	added ('OK')	text/html	etag:W/%2206da4aca46975473d1cbd700a047732f%22	https://booqi.me/blog/why-working-with-customer-groups-makes-the-difference	./downloaded-site-booqi/booqi.me/blog/why-working-with-customer-groups-makes-the-difference.html	(from https://booqi.me/blog)
09:34:46	338464/338464	---MCZ	200	added ('OK')	text/html	etag:W/%22a4a59279f2654e4b29e5dd4b4fe214c8%22	https://booqi.me/nl/terms-and-conditions	./downloaded-site-booqi/booqi.me/nl/terms-and-conditions.html	(from https://booqi.me/terms-and-conditions)
09:34:47	340715/340715	---MCZ	200	added ('OK')	text/html	etag:W/%22a4a59279f2654e4b29e5dd4b4fe214c8%22	https://booqi.me/fr/terms-and-conditions	./downloaded-site-booqi/booqi.me/fr/terms-and-conditions.html	(from https://booqi.me/terms-and-conditions)
09:34:48	340263/340263	---MCZ	200	added ('OK')	text/html	etag:W/%22a4a59279f2654e4b29e5dd4b4fe214c8%22	https://booqi.me/de/terms-and-conditions	./downloaded-site-booqi/booqi.me/de/terms-and-conditions.html	(from https://booqi.me/terms-and-conditions)
09:34:49	340351/340351	---MCZ	200	added ('OK')	text/html	etag:W/%22a4a59279f2654e4b29e5dd4b4fe214c8%22	https://booqi.me/es/terms-and-conditions	./downloaded-site-booqi/booqi.me/es/terms-and-conditions.html	(from https://booqi.me/terms-and-conditions)
09:34:50	298435/298435	---MCZ	200	added ('OK')	text/html	etag:W/%22b385811fad80d65a1c296b64c3bb3a46%22	https://booqi.me/nl/industry	./downloaded-site-booqi/booqi.me/nl/industry.html	(from https://booqi.me/industry)
09:34:51	298894/298894	---MCZ	200	added ('OK')	text/html	etag:W/%22b385811fad80d65a1c296b64c3bb3a46%22	https://booqi.me/fr/industry	./downloaded-site-booqi/booqi.me/fr/industry.html	(from https://booqi.me/industry)
09:34:52	298687/298687	---MCZ	200	added ('OK')	text/html	etag:W/%22b385811fad80d65a1c296b64c3bb3a46%22	https://booqi.me/de/industry	./downloaded-site-booqi/booqi.me/de/industry.html	(from https://booqi.me/industry)
09:34:53	298886/298886	---MCZ	200	added ('OK')	text/html	etag:W/%22b385811fad80d65a1c296b64c3bb3a46%22	https://booqi.me/es/industry	./downloaded-site-booqi/booqi.me/es/industry.html	(from https://booqi.me/industry)
09:34:54	261232/261232	---MCZ	200	added ('OK')	text/html	etag:W/%22f74484ba3b62ece0f189b5fbc2ae1ad7%22	https://booqi.me/nl/contact	./downloaded-site-booqi/booqi.me/nl/contact.html	(from https://booqi.me/contact)
09:34:55	261588/261588	---MCZ	200	added ('OK')	text/html	etag:W/%22f74484ba3b62ece0f189b5fbc2ae1ad7%22	https://booqi.me/fr/contact	./downloaded-site-booqi/booqi.me/fr/contact.html	(from https://booqi.me/contact)
09:34:56	261489/261489	---MCZ	200	added ('OK')	text/html	etag:W/%22f74484ba3b62ece0f189b5fbc2ae1ad7%22	https://booqi.me/de/contact	./downloaded-site-booqi/booqi.me/de/contact.html	(from https://booqi.me/contact)
09:34:57	261657/261657	---MCZ	200	added ('OK')	text/html	etag:W/%22f74484ba3b62ece0f189b5fbc2ae1ad7%22	https://booqi.me/es/contact	./downloaded-site-booqi/booqi.me/es/contact.html	(from https://booqi.me/contact)
09:34:58	251147/251147	---MCZ	200	added ('OK')	text/html	etag:W/%22f6ad168d2bfc1eea45c656d24a16fd90%22	https://booqi.me/nl/book-demo	./downloaded-site-booqi/booqi.me/nl/book-demo.html	(from https://booqi.me/book-demo)
09:34:59	251545/251545	---MCZ	200	added ('OK')	text/html	etag:W/%22f6ad168d2bfc1eea45c656d24a16fd90%22	https://booqi.me/fr/book-demo	./downloaded-site-booqi/booqi.me/fr/book-demo.html	(from https://booqi.me/book-demo)
09:35:00	251439/251439	---MCZ	200	added ('OK')	text/html	etag:W/%22f6ad168d2bfc1eea45c656d24a16fd90%22	https://booqi.me/de/book-demo	./downloaded-site-booqi/booqi.me/de/book-demo.html	(from https://booqi.me/book-demo)
09:35:01	251570/251570	---MCZ	200	added ('OK')	text/html	etag:W/%22f6ad168d2bfc1eea45c656d24a16fd90%22	https://booqi.me/es/book-demo	./downloaded-site-booqi/booqi.me/es/book-demo.html	(from https://booqi.me/book-demo)
09:35:28	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2017%20Mar%202026%2008:35:01%20GMT	https://booqi.me/de/	./downloaded-site-booqi/booqi.me/de/index.html	(from https://booqi.me/de/features)
